Name,Quantity,Component
"SEN1",1," Soil Moisture Sensor"
"T1",1," NPN Transistor (BJT)"
"U6",1," Arduino Uno R3"
"U7",1,"MCP23008-based, 32 (0x20) LCD 16 x 2 (I2C)"
"M2",1," DC Motor"
"R3, R4",2,"1 kΩ Resistor"
"D3",1,"Red LED"
"D4",1,"Green LED"
"BAT2",1," 9V Battery"
"U1",1," Temperature Sensor [TMP36]"
"Rpot2",1,"250 kΩ Potentiometer"
